#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
23	12:0	8.26	11.5	0.01	
1	14:0	12.08	115.1	0.13	
2	14:1w5	12.39	37.3	0.04	
3	15:0	14.42	48.9	0.05	
4	16:0	17.16	21179.5	23.20	
5	16:1w9	17.44	190.5	0.21	
6	16:1w7	17.62	1175.3	1.29	
7	16:2w6	18.53	108.1	0.12	
8	16:2w4	19.05	65.4	0.07	
9	17:0	19.53	107.0	0.12	
18	17:1w9	19.99	10.7	0.01	
19	17:1w7	20.08	19.9	0.02	
20	17:2w5	21.16	15.0	0.02	
10	18:0	22.35	3480.6	3.81	
21	18:1w9	22.89	22902.6	25.09	
22	18:1w7	22.94	547.2	0.60	
11	18:2w6	24.13	37759.1	41.37	
12	18:3w3	25.47	753.2	0.83	
13	20:0	27.35	98.7	0.11	
14	20:1w9	27.80	28.4	0.03	
15	20:2w9	28.95	180.6	0.20	
16	22:0	32.27	83.8	0.09	
17	23:0	34.70	2363.9	2.59	

