#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
17	12:0	8.14	6.7	0.02	
1	14:0	11.89	41.7	0.11	
18	14:1w5	12.19	10.7	0.03	
2	15:0	14.19	20.9	0.06	
3	16:0	16.82	8387.5	22.74	
4	16:1w9	17.15	61.4	0.17	
5	16:1w7	17.33	532.7	1.44	
6	16:2w6	18.26	25.6	0.07	
7	16:2w4	18.78	26.9	0.07	
8	17:0	19.28	35.7	0.10	
19	17:1w9	19.78	5.0	0.01	
20	17:1w7	19.81	12.3	0.03	
21	17:2w5	20.89	4.0	0.01	
9	18:0	21.98	1537.1	4.17	
10	18:1w9	22.51	9842.8	26.68	
11	18:1w7	22.59	308.6	0.84	
12	18:2w6	23.70	14769.9	40.04	
13	18:3w3	25.15	170.1	0.46	
14	20:0	27.11	35.6	0.10	
22	20:1w9	27.55	12.2	0.03	
23	20:2w9	28.70	40.2	0.11	
15	22:0	32.04	29.3	0.08	
16	23:0	34.44	969.4	2.63	

