#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
15	12:0	8.26	8.7	0.01	
1	14:0	12.08	78.5	0.12	
16	14:1w5	12.38	18.1	0.03	
17	15:0	14.41	30.7	0.05	
2	16:0	17.11	14611.1	23.27	
3	16:1w9	17.42	120.2	0.19	
4	16:1w7	17.59	750.3	1.20	
5	16:2w6	18.52	62.9	0.10	
18	16:2w4	19.04	42.1	0.07	
6	17:0	19.53	71.5	0.11	
19	17:1w9	19.99	8.8	0.01	
20	17:1w7	20.07	14.2	0.02	
21	17:2w5	21.15	11.8	0.02	
7	18:0	22.28	2654.6	4.23	
8	18:1w9	22.81	14896.8	23.73	
9	18:1w7	22.88	407.5	0.65	
10	18:2w6	24.05	25811.8	41.11	
11	18:3w3	25.45	458.0	0.73	
22	20:0	27.34	71.9	0.11	
23	20:1w9	27.79	22.9	0.04	
12	20:2w9	28.93	161.2	0.26	
13	22:0	32.26	62.2	0.10	
14	23:0	34.70	2404.0	3.83	

