#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
17	12:0	8.12	18.1	0.02	
1	14:0	11.89	423.4	0.40	
23	14:1w5	12.18	6.6	0.01	
2	15:0	14.20	101.4	0.10	
3	16:0	16.95	26038.2	24.73	
4	16:1w9	17.21	152.1	0.14	
5	16:1w7	17.43	4701.9	4.46	
18	16:2w6	18.28	11.5	0.01	
6	16:2w4	18.80	262.0	0.25	
7	17:0	19.29	28.8	0.03	
19	17:1w9	19.75	6.7	0.01	
20	17:1w7	19.83	29.1	0.03	
21	17:2w5	20.91	5.5	0.01	
8	18:0	22.12	2158.3	2.05	
9	18:1w9	22.68	32064.4	30.45	
22	18:1w7	22.70	498.8	0.47	
10	18:2w6	23.87	37308.6	35.43	
11	18:3w3	25.18	214.8	0.20	
12	20:0	27.12	108.0	0.10	
13	20:1w9	27.56	39.2	0.04	
14	20:2w9	28.71	85.6	0.08	
15	22:0	32.05	49.8	0.05	
16	23:0	34.44	998.0	0.95	

