#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
18	12:0	8.12	15.1	0.02	
1	14:0	11.89	101.4	0.12	
2	14:1w5	12.18	22.0	0.03	
19	15:0	14.20	12.3	0.01	
3	16:0	16.90	16724.7	19.21	
4	16:1w9	17.19	95.0	0.11	
5	16:1w7	17.35	564.8	0.65	
6	16:2w6	18.27	23.1	0.03	
7	16:2w4	18.79	32.4	0.04	
8	17:0	19.29	108.1	0.12	
20	17:1w9	19.75	6.4	0.01	
21	17:1w7	19.85	24.8	0.03	
22	17:2w5	20.89	7.4	0.01	
9	18:0	22.12	4430.0	5.09	
10	18:1w9	22.63	23345.6	26.82	
23	18:1w7	22.68	365.9	0.42	
11	18:2w6	23.86	35312.4	40.57	
12	18:3w3	25.24	3383.1	3.89	
13	20:0	27.11	121.7	0.14	
14	20:1w9	27.54	29.0	0.03	
15	20:2w9	28.68	120.7	0.14	
16	22:0	32.02	70.5	0.08	
17	23:0	34.46	2134.3	2.45	

