#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
13	12:0	8.17	4.0	0.02	
1	14:0	11.94	36.2	0.18	
14	14:1w5	12.23	10.1	0.05	
15	15:0	14.24	12.7	0.06	
2	16:0	16.81	4356.0	21.94	
3	16:1w9	17.19	42.8	0.22	
4	16:1w7	17.37	289.1	1.46	
16	16:2w6	18.31	17.5	0.09	
17	16:2w4	18.83	16.6	0.08	
18	17:0	19.32	19.4	0.10	
19	17:1w9	19.75	0.5	0.00	
20	17:1w7	19.85	5.6	0.03	
21	17:2w5	20.87	1.1	0.01	
5	18:0	21.98	696.9	3.51	
6	18:1w9	22.48	5099.8	25.68	
7	18:1w7	22.60	83.8	0.42	
8	18:2w6	23.68	7482.3	37.68	
9	18:3w3	25.19	92.9	0.47	
10	20:0	27.11	26.6	0.13	
22	20:1w9	27.55	6.6	0.03	
11	20:2w9	28.67	69.0	0.35	
23	22:0	32.05	12.8	0.06	
12	23:0	34.48	1473.2	7.42	
