#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
14	12:0	8.14	9.3	0.01	
1	14:0	11.91	251.9	0.29	
15	14:1w5	12.20	2.7	0.00	
2	15:0	14.21	75.4	0.09	
3	16:0	16.94	20785.1	23.84	
4	16:1w9	17.21	107.0	0.12	
5	16:1w7	17.41	2807.4	3.22	
16	16:2w6	18.29	4.8	0.01	
6	16:2w4	18.81	109.5	0.13	
7	17:0	19.30	66.1	0.08	
17	17:1w9	19.76	8.8	0.01	
18	17:1w7	19.83	23.8	0.03	
19	17:2w5	20.92	4.2	0.00	
8	18:0	22.11	1953.2	2.24	
9	18:1w9	22.68	31069.4	35.64	
20	18:1w7	22.72	297.7	0.34	
10	18:2w6	23.83	27805.2	31.89	
11	18:3w3	25.19	307.2	0.35	
12	20:0	27.11	99.6	0.11	
21	20:1w9	27.55	33.5	0.04	
22	20:2w9	28.70	50.4	0.06	
23	22:0	32.04	36.5	0.04	
13	23:0	34.45	1272.2	1.46	
	
