#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
10	12:0	8.13	6.2	0.02	
11	14:0	11.90	29.8	0.12	
12	14:1w5	12.20	15.7	0.06	
13	15:0	14.20	15.9	0.06	
1	16:0	16.80	6486.8	25.52	
2	16:1w9	17.16	63.9	0.25	
3	16:1w7	17.33	494.3	1.94	
14	16:2w6	18.27	42.4	0.17	
15	16:2w4	18.79	32.8	0.13	
4	17:0	19.28	49.0	0.19	
16	17:1w9	19.74	5.4	0.02	
17	17:1w7	19.81	8.1	0.03	
18	17:2w5	20.89	6.6	0.03	
5	18:0	21.94	710.6	2.80	
6	18:1w9	22.47	5813.4	22.87	
7	18:1w7	22.57	338.8	1.33	
8	18:2w6	23.67	10555.4	41.52	
9	18:3w3	25.16	76.8	0.30	
19	20:0	27.15	16.1	0.06	
20	20:1w9	27.59	11.2	0.04	
21	20:2w9	28.73	60.0	0.24	
22	22:0	32.09	12.3	0.05	
23	23:0	34.47	568.3	2.24	
	
