#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
6	12:0	8.18	8.8	0.12	
23	14:0	11.89	23.4	0.33	
7	14:1w5	12.06	1.1	0.02	
8	15:0	14.10	4.4	0.06	
1	16:0	16.70	1420.8	19.93	
9	16:1w9	17.12	5.2	0.07	
2	16:1w7	17.29	106.9	1.50	
11	16:2w6	18.19	1.1	0.01	
10	16:2w4	18.76	4.6	0.06	
12	17:0	19.24	2.5	0.03	
13	17:1w9	19.78	0.7	0.01	
14	17:1w7	19.79	0.1	0.00	
15	17:2w5	20.90	1.5	0.02	
3	18:0	21.88	194.1	2.72	
16	18:1w9	22.34	1363.6	19.12	
17	18:1w7	22.51	36.2	0.51	
4	18:2w6	23.52	2030.1	28.47	
5	18:3w3	25.12	132.5	1.86	
18	20:0	27.04	7.4	0.10	
19	20:1w9	27.48	2.5	0.04	
20	20:2w9	28.59	24.4	0.34	
21	22:0	32.18	4.7	0.07	
22	23:0	34.40	1753.5	24.59	

