#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
19	12:0	8.11	10.8	0.01	
1	14:0	11.87	232.5	0.23	
2	14:1w5	12.15	49.4	0.05	
3	15:0	14.17	88.5	0.09	
4	16:0	16.91	24346.3	23.71	
5	16:1w9	17.18	219.4	0.21	
6	16:1w7	17.37	2542.4	2.48	
7	16:2w6	18.24	63.4	0.06	
8	16:2w4	18.76	118.9	0.12	
9	17:0	19.27	55.5	0.05	
20	17:1w9	19.71	11.9	0.01	
21	17:1w7	19.80	32.4	0.03	
22	17:2w5	20.86	11.5	0.01	
10	18:0	22.10	2670.1	2.60	
11	18:1w9	22.65	31215.9	30.40	
23	18:1w7	22.69	409.8	0.40	
12	18:2w6	23.85	38835.7	37.82	
13	18:3w3	25.15	223.8	0.22	
14	20:0	27.10	127.0	0.12	
15	20:1w9	27.53	32.6	0.03	
16	20:2w9	28.68	109.1	0.11	
17	22:0	32.01	87.5	0.09	
18	23:0	34.43	1178.0	1.15	

