#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
16	12:0	8.15	19.0	0.01	
1	14:0	11.94	524.8	0.24	
17	14:1w5	12.24	10.5	0.00	
2	15:0	14.25	87.5	0.04	
3	16:0	17.13	52054.6	24.15	
4	16:1w9	17.35	223.5	0.10	
5	16:1w7	17.58	9086.3	4.22	
18	16:2w6	18.37	8.1	0.00	
6	16:2w4	18.90	759.4	0.35	
19	17:0	19.37	42.3	0.02	
20	17:1w9	19.82	17.4	0.01	
22	17:1w7	19.90	49.6	0.02	
21	17:2w5	20.98	23.7	0.01	
7	18:0	22.37	4121.2	1.91	
8	18:1w9	22.88	59758.4	27.72	
23	18:1w7	22.91	722.2	0.34	
9	18:2w6	24.13	84066.4	39.00	
10	18:3w3	25.30	216.6	0.10	
11	20:0	27.15	204.6	0.09	
12	20:1w9	27.59	59.6	0.03	
13	20:2w9	28.75	172.1	0.08	
14	22:0	32.05	117.2	0.05	
15	23:0	34.51	3209.1	1.49	

