"12:0" "14:0" "14:1n-5" "15:0" "16:0" "16:1n-7" "16:1n-9" "16:2n-4" "16:2n-6" "17:0" "17:1n-7" "17:1n-9" "17:2n-5" "18:0" "18:1n-7" "18:1n-9" "18:2n-6" "18:3n-3" "20:0" "20:1n-9" "20:2n-9" "22:0" "group" "sp" "temp" "salinity"
"1" 0.0032026268902861 0.0288972656192482 0.00666293640392856 0.0113012236243429 5.37860939731716 0.276198960434674 0.0442477876106195 0.0154977692047178 0.0231546242987351 0.0263204393856846 0.0052272760738003 0.00323943869362272 0.00434379279372138 0.977206131373964 0.150008098596734 5.48378071944988 9.50178905364216 0.168598059281728 0.0264676865990311 0.0084299029640864 0.0593406269786344 0.0228969416753788 "01LDT18S1" "LD" "T18" "S1"
"2" 0.0191549955753543 0.0425842463617381 0.00609477131943092 0.0121103897645835 6.56945110647803 0.279726257699596 0.0292074106087014 0.0189966898267977 0.0179677024611795 0.0309487738428246 0.00411594946247283 0.00277035059974133 0.00403679658819451 1.32399012805352 0.269515536917692 6.59224713427019 12.13326494525 0.181734999343031 0.0470959601956026 0.00775698167927572 0.0375184624079254 0.0235084036606621 "02LDT18S1" "LD" "T18" "S1"
"3" 0.00197757804812703 0.0197929768121235 0.00641423140827288 0.00840900578725319 3.64209689307012 0.202108476518582 0.0327590102754955 0.0112464003780441 0.0185892336523941 0.018400074013008 0.00342206983980242 0.0018400074013008 0.00257944962799177 0.598535491679211 0.0940983224291399 3.93840687000296 6.49317976322028 0.129522763986894 0.0169727785521859 0.00488375796233109 0.031056573521021 0.0144105252550474 "03LDT18S1" "LD" "T18" "S1"
"4" 0.00336753811575321 0.0299437848671028 0.0122869633953158 0.0116498615896327 3.26032298331112 0.284056390790966 0.0373614701761268 0.0155179796955655 0.0190220396268222 0.0132881233756748 0.00350405993125671 0.00200231996071812 0.00232087086355964 0.413342550072789 0.0573391625114735 3.90042826893523 5.901747069673 0.0758151148762816 0.0158820378702415 0.00509681444546431 0.0525608989688507 0.00951101981341108 "04LDT18S2" "LD" "T18" "S2"
"5" 0.0329183170292467 0.0352631834477683 0.00724503598543237 0.00814690768486378 2.52959980495521 0.206378307219889 0.0302127019309524 0.00928927850414358 0.0122053303323052 0.0131072020317366 0.00276573987825634 0.00120249559924189 0.00246511597844587 0.366911469718681 0.0502342536583298 3.31422818346055 4.8581122833272 0.0710975523051766 0.0135581378814523 0.00255530314838901 0.0212240473266193 0.00877821787446578 "05LDT18S2" "LD" "T18" "S2"
"6" 0.00424246538148249 0.0383943117024165 0.0107122250882433 0.0134698275862069 4.62004480043443 0.306624185446647 0.0453943795818626 0.0176062313331523 0.0185607860439859 0.0205759571001901 0.00593945153407548 0.000530308172685311 0.00116667797990768 0.739143531088786 0.0888796497420581 5.4089312381211 7.9358496809666 0.0985312584849307 0.0282123947868585 0.0070000678794461 0.0731825278305729 0.013575889220744 "06LDT18S2" "LD" "T18" "S2"
"7" 0.00394178962176065 0.0371732660163261 0.000383229546560063 0.0100734623667217 3.44818996579129 0.36592946988678 0.0116063805529619 0.018066535766403 0.000218988312320036 0.00722661430656119 0.00328482468480054 0.00224463020128037 0.00164241234240027 0.42111452459143 0.0541448602211289 5.03853783693747 5.47273691319002 0.0488891407254481 0.0217893370758436 0.00656964936960108 0.0186687536252831 0.00930700327360153 "07LDT18S3" "LD" "T18" "S3"
"8" 0.00351602138547958 0.0389356138670731 0.000432297711329457 0.00858831453174521 3.4415220798938 0.42296008076474 0.0138623466099646 0.0218454443458485 5.76396948439276e-05 0.00351602138547958 0.00305490382672816 0.0016715511504739 0.00141217252367623 0.336731097278225 0.0563716215573612 4.351624041632 4.93473601452059 0.0519910047492227 0.0150727802016871 0.00417887787618475 0.011931416832693 0.00605216795861239 "08LDT18S3" "LD" "T18" "S3"
"9" 0.00322234435946811 0.0442812482946262 0.000415786368963627 0.00873151374823616 3.92512726960888 0.353938146580287 0.00821178078703162 0.0188143331956041 0.00135130569913179 0.00436575687411808 0.00343023754394992 0.00207893184481813 0.00145525229137269 0.441773017023853 0.0677731781410711 4.21066855849465 4.5513015412681 0.0432417823722172 0.0197498525257723 0.00841967397151344 0.0226603571085176 0.0103946592240907 "09LDT18S3" "LD" "T18" "S3"
"10" 0.00143364861970292 0.0134121601132733 0.00249002128685243 0.00830007095617478 2.61733305704158 0.124878340295175 0.0194674391517554 0.0063382360028971 0.00779074842022769 0.0212406361287564 0.00435753725199176 0.00133932963156457 0.00147137621495826 0.672852797581359 0.0847550427411211 3.40540593053274 5.24881396230391 0.113031875384998 0.0139214826492204 0.00384821471604467 0.0138837550539651 0.0121860132674748 "10SLT18S1" "SL" "T18" "S1"
"11" 0.00438654208887134 0.0169775425291502 0.00284312913167587 0.00836692287321756 3.2461223780257 0.147883330977598 0.0238416685756248 0.0071890550900947 0.00893554869955273 0.0245321427933175 0.00483331952384898 0.000974787130860298 0.00211203878353065 0.826010245012745 0.105520706915627 3.92757981475795 6.17580448369587 0.14629930188995 0.014581190832452 0.00402099691479873 0.0198206716608261 0.0119005262225861 "11SLT18S1" "SL" "T18" "S1"
"12" 0.00259660232647817 0.0184087478369721 0.00476689680831068 0.0115490670640373 4.22552460086928 0.20358137344761 0.0346084459335076 0.00918499628918399 0.0156571244760773 0.0360036352432571 0.00689843603153903 0.00166647611997853 0.00189900767160344 1.02089102215057 0.131380326668075 5.30202941911681 8.35408354471097 0.219471029475312 0.019145097750451 0.00740225439339301 0.0211991264564711 0.0139518930974947 "12SLT18S1" "SL" "T18" "S1"
