"group" "12:0" "14:0" "14:1n-5" "15:0" "16:0" "16:1n-7" "16:1n-9" "16:2n-4" "16:2n-6" "17:0" "17:1n-7" "17:1n-9" "17:2n-5" "18:0" "18:1n-7" "18:1n-9" "18:2n-6" "18:3n-3" "20:0" "20:1n-9" "20:2n-9" "22:0" "sp" "temp" "salinity"
"1" "01LDT18S1" 0.0144097469515932 0.13001898111495 0.0299788988303261 0.0508481875188403 24.2002590441866 1.24271645261843 0.199086388917414 0.0697299249036866 0.104180814167266 0.118424931843553 0.023519357093405 0.0145753762268989 0.0195442544860689 4.39679474226429 0.674939296870601 24.6734618837349 42.7518972833486 0.758582080899963 0.119087448944776 0.0379291040449982 0.266994391792738 0.103021409240126 "LD" "T18" "S1"
"2" "02LDT18S1" 0.0692671421865519 0.153990588827954 0.0220395452411756 0.0437928626220762 23.7560537192448 1.01152925821188 0.105618080441478 0.0686946864660019 0.0649737242824268 0.111915093367528 0.0148838487343004 0.0100179751096253 0.0145976208740254 4.78773341882005 0.974605864236401 23.838487343004 43.8755824736957 0.657179167191418 0.17030557686363 0.0280503303069508 0.135672005770354 0.0850096745016773 "LD" "T18" "S1"
"3" "03LDT18S1" 0.0129332061755497 0.129444524417893 0.0419485730737395 0.0549942419116853 23.8190295821787 1.32177367114118 0.214241371864541 0.0735505812070393 0.121572138050167 0.12033504876381 0.0223800698168208 0.012033504876381 0.0168693993594127 3.91437542735812 0.615395688631375 25.7568737179257 42.4648891567999 0.847068773167309 0.111000647784935 0.031939396120488 0.203107568287329 0.0942437110879188 "LD" "T18" "S1"
"4" "04LDT18S2" 0.0238386701887765 0.211970878165067 0.0869789317698602 0.0824689130854971 23.0796984730365 2.01082404484247 0.264480381418723 0.109851169383416 0.134656272147413 0.0940661039881451 0.0248051027639972 0.0141743444365698 0.0164293537787514 2.92603569357644 0.405901681592681 27.6109786740545 41.778235938406 0.536692223439211 0.112428322917338 0.036080149474905 0.372076541459957 0.0673281360737066 "LD" "T18" "S2"
"5" "05LDT18S2" 0.283839795116919 0.304058520248535 0.0624706763681985 0.0702471091111278 21.8115977717928 1.77950702600698 0.260510496888131 0.0800972572521716 0.10524105645431 0.113017489197239 0.0238477270783165 0.0103685769905724 0.0212555828306734 3.16371205424839 0.433147303781161 28.5770942581413 41.8893102563371 0.613042114567592 0.116905705568703 0.0220332261049663 0.183005383883602 0.0756906120311783 "LD" "T18" "S2"
"6" "06LDT18S2" 0.0217600626689805 0.196928567154273 0.0549441582391757 0.069088198974013 23.6967082465198 1.57270852940056 0.232832670558091 0.090304260076269 0.0952002741767896 0.105536303944555 0.0304640877365727 0.00272000783362256 0.00598401723396963 3.79114691850313 0.455873312915141 27.7429918998167 40.7038292270282 0.505377455487072 0.14470441674872 0.0359041034038178 0.375361081039913 0.0696322005407376 "LD" "T18" "S2"
"7" "07LDT18S3" 0.0262755502355676 0.247793036249311 0.00255456738401352 0.0671486283797839 22.9852674449582 2.43924691353519 0.077366897915838 0.120429605246352 0.00145975279086487 0.0481718420985406 0.021896291862973 0.0149624661063649 0.0109481459314865 2.80710461683314 0.360923877541338 33.5863571504166 36.4806819965039 0.325889810560582 0.145245402691054 0.043792583725946 0.12444392542123 0.0620394936117569 "LD" "T18" "S3"
"8" "08LDT18S3" 0.0256081946222791 0.28357926995655 0.00314854851913268 0.0625511639134359 25.0655947608153 3.08053987111941 0.100963455846855 0.159106651833505 0.000419806469217691 0.0256081946222791 0.0222497428685376 0.012174387607313 0.0102852584958334 2.45250939316975 0.410570726894901 31.694129006528 35.9411011523688 0.378665435234357 0.109779391700426 0.0304359690182826 0.086899939128062 0.0440796792678575 "LD" "T18" "S3"
"9" "09LDT18S3" 0.0234328346926897 0.322012502551155 0.00302359157325029 0.063495423038256 28.543460349376 2.57383232672931 0.0597159335716931 0.136817518689575 0.00982667261306343 0.031747711519128 0.0249446304793149 0.0151179578662514 0.010582570506376 3.21256604657843 0.492845426439797 30.6199118623056 33.0969892586909 0.31445352361803 0.143620599729389 0.0612277293583183 0.164785740742141 0.0755897893312571 "LD" "T18" "S3"
"10" "10SLT18S1" 0.0115630329835516 0.108175216464542 0.0200831625503791 0.0669438751679302 21.1099903083526 1.00720103093568 0.157013816302964 0.0511207774009649 0.0628359555553527 0.171315462361567 0.0351455344631634 0.0108023071293706 0.011867323325224 5.4268660985566 0.683588252567069 27.4661591103768 42.3340894948324 0.911653863650541 0.112283136077119 0.0310376148505858 0.111978845735447 0.0982857803601885 "SL" "T18" "S1"
"11" "11SLT18S1" 0.029778563294612 0.115254069047665 0.0193009206539152 0.0567998522100933 22.0366882928887 1.0039236014415 0.161852006054975 0.0488037565106141 0.0606600363408763 0.166539372499497 0.0328115651116558 0.00661745850991378 0.0143378267714799 5.60746890483819 0.716339883698167 26.6628432461943 41.9251841169967 0.993170231362893 0.0989861502107936 0.0272970163533943 0.13455498970158 0.0807881393085307 "SL" "T18" "S1"
"12" "12SLT18S1" 0.0132062641055713 0.0936264992559157 0.024244335596795 0.0587383090068692 21.4909280849932 1.03541052756068 0.176017818601122 0.0467146954182148 0.0796318014723999 0.183113721702623 0.0350852986685326 0.00847566203790395 0.00965831255482078 5.19222998610386 0.668197542058009 26.9660086530596 42.488690904432 1.11622497955 0.0973715592261523 0.0376477081218524 0.107818305458918 0.0709590310150098 "SL" "T18" "S1"
